"Region";"Kvalitetselement";"Indikator";"Code";"Match";"MatchValue";"NotUsed";"Ref";"HG";"GM";"MP";"PB";"Worst"
"";"Fysisk-kjemiske";"Total nitrogen (µg N/l), vinter";"TN_winter";"SalinityClass";"18";NA;NA;291;398;559;800;NA
"";"Fysisk-kjemiske";"Nitrat-nitrogen (µg N/l), vinter";"NO3_winter";"SalinityClass";">18";NA;NA;97;125;225;350;NA
"";"Fysisk-kjemiske";"Nitrat-nitrogen (µg N/l), vinter";"NO3_winter";"SalinityClass";"5";NA;NA;143;226;326;478;NA
"";"Fysisk-kjemiske";"Nitrat-nitrogen (µg N/l), vinter";"NO3_winter";"SalinityClass";"18";NA;NA;97;139;239;367;NA
"";"Fysisk-kjemiske";"Ammonium-nitrogen (µg N/l), vinter";"NH4_winter";"SalinityClass";">18";NA;NA;33;75;155;325;NA
"";"Fysisk-kjemiske";"Oksygen (ml O2/l)";"DO_bot";"SalinityClass";">18";NA;NA;4.5;3.5;2.5;1.5;NA
"";"Fysisk-kjemiske";"Oksygen metning (%)";"";"SalinityClass";">18";NA;NA;65;50;35;20;NA
"S";"Planteplankton";"summer klorofyll a";"Chl_Summer";"type";"S1";NA;0.99;1.25;1.57;3.19;5.5;NA
"S";"Planteplankton";"summer klorofyll a";"Chl_Summer";"type";"S2";NA;1.15;1.51;1.85;3.29;6.05;NA
"S";"Planteplankton";"summer klorofyll a";"Chl_Summer";"type";"S3";NA;1.37;1.73;2.4;4.03;5.96;NA
NA;"Bløtfunnsfauna";"Softbottom fauna";"Bundfauna";NA;"Alle";NA;1;0.8;0.6;0.4;0.2;0
